Ticker,Company,Sector
JSE:BHG,BHP Group Limited (JSE:BHG),Basic Materials
JSE:ANH,Anheuser-Busch Inbev (JSE:ANH),Consumer Goods
JSE:PRX,Prosus N.V. (JSE:PRX),Technology
JSE:GLN,Glencore plc (JSE:GLN),Basic Materials
JSE:BTI,British American Tobacco (JSE:BTI),Consumer Goods
JSE:CFR,Compagnie Fin Richemont (JSE:CFR),Consumer Goods
JSE:AGL,Anglo American plc (JSE:AGL),Basic Materials
JSE:NPN,Naspers Limited - N (JSE:NPN),Technology
JSE:FSR,Firstrand Limited (JSE:FSR),Financials
JSE:SBK,Standard Bank Group (JSE:SBK),Financials
JSE:GFI,Gold Fields Limited (JSE:GFI),Basic Materials
JSE:CPI,Capitec Bank Holdings (JSE:CPI),Financials
JSE:VOD,Vodacom Group Limited (JSE:VOD),Telecommunications
JSE:AMS,Anglo American Platinum Ltd (JSE:AMS),Basic Materials
JSE:KIO,Kumba Iron Ore (JSE:KIO),Basic Materials
JSE:MTN,MTN Group Limited (JSE:MTN),Telecommunications
JSE:S32,South32 Limited (JSE:S32),Basic Materials
JSE:MNP,Mondi plc (JSE:MNP),Basic Materials
JSE:ABG,Absa Group Limited (JSE:ABG),Financials
JSE:ANG,Anglogold Ashanti (JSE:ANG),Basic Materials
JSE:SLM,Sanlam Limited (JSE:SLM),Financials
JSE:SHP,Shoprite Holdings Limited (JSE:SHP),Consumer Services
JSE:BID,Bid Corporation Limited (JSE:BID),Consumer Services
JSE:SOL,Sasol Limited (JSE:SOL),Basic Materials
JSE:NED,Nedbank Group Limited (JSE:NED),Financials
JSE:NHM,Northam Platinum Limited (JSE:NHM),Basic Materials
JSE:DSY,Discovery Limited (JSE:DSY),Financials
JSE:RNI,Reinet Investments S.C.A. (JSE:RNI),Financials
JSE:INP,Investec plc (JSE:INP),Financials
JSE:APN,Aspen Pharmacare Holdings Limited (JSE:APN),Health Care
JSE:BVT,Bidvest Group (JSE:BVT),Industrials
JSE:NRP,Nepi Rockcastle plc (JSE:NRP),Financials
JSE:REM,Remgro Limited (JSE:REM),Financials
JSE:HAR,Harmony Gold Mining Company (JSE:HAR),Basic Materials
JSE:CLS,Clicks Group Limited (JSE:CLS),Consumer Services
JSE:PPH,Pepkor Holdings Limited (JSE:PPH),Consumer Services
JSE:IMP,Impala Platinum Holdings Limited (JSE:IMP),Basic Materials
JSE:EXX,Exxaro Resources Limited (JSE:EXX),Basic Materials
JSE:WHL,Woolworths Holdings Limited (JSE:WHL),Consumer Services
JSE:OUT,OUTsurance Holdings Limited (JSE:OUT),Financials
JSE:SSW,Sibanye Stillwater Limited (JSE:SSW),Basic Materials
JSE:OMU,Old Mutual Limited (JSE:OMU),Financials
JSE:TXT,Textainer Group Holdings (JSE:TXT),Industrials
JSE:RMI,Rand Merchant Investment Holdings (JSE:RMI),Financials
JSE:NPH,Northam Platinum Holdings Limited (JSE:NPH),Basic Materials
JSE:ARI,African Rainbow Minerals (JSE:ARI),Basic Materials
JSE:MRP,Mr Price Group (JSE:MRP),Consumer Services
JSE:GRT,Growthpoint Properties Limited (JSE:GRT),Financials
JSE:TFG,The Foschini Group (JSE:TFG),Consumer Services
JSE:INL,Investec Limited (JSE:INL),Financials
JSE:SNT,Santam Limited (JSE:SNT),Financials
JSE:TBS,Tiger Brands Limited (JSE:TBS),Consumer Goods
JSE:HMN,Hammerson plc (JSE:HMN),Financials
JSE:BYI,Bytes Technology Group (JSE:BYI),Technology
JSE:TRU,Truworths International Limited (JSE:TRU),Consumer Services
JSE:QLT,Quilter plc (JSE:QLT),Financials
JSE:MCG,MultiChoice Group (JSE:MCG),Consumer Services
JSE:MTM,Momentum Metropolitan Holdings (JSE:MTM),Financials
JSE:SRE,Sirius Real Estate (JSE:SRE),Financials
JSE:LHC,Life Healthcare Group (JSE:LHC),Health Care
JSE:AVI,AVI Limited (JSE:AVI),Consumer Goods
JSE:N91,Ninety One plc (JSE:N91),Financials
JSE:RDF,Redefine Properties Limited (JSE:RDF),Financials
JSE:DCP,Dis-Chem Pharmacies Limited (JSE:DCP),Consumer Services
JSE:CCO,Capital & Counties Properties plc (JSE:CCO),Financials
JSE:SAP,Sappi Limited (JSE:SAP),Basic Materials
JSE:SPP,Spar Group Limited (JSE:SPP),Consumer Services
JSE:TGA,Thungela Resources Limited (JSE:TGA),Basic Materials
JSE:KST,PSG Konsult Limited (JSE:KST),Financials
JSE:NTC,Netcare Limited (JSE:NTC),Health Care
JSE:HCI,Hosken Consolidated Investments Limited (JSE:HCI),Financials
JSE:MTH,Motus Holdings Limited (JSE:MTH),Consumer Services
