date,stock,percentile_rank_vol,percentile_rank_momen
2024-01-12,ABG.JO,26.666666666666668,21.666666666666668
2024-01-12,ANG.JO,16.666666666666664,16.666666666666664
2024-01-12,BIK.JO,80,73.33333333333333
2024-01-12,EQU.JO,90,86.66666666666667
2024-01-12,FFA.JO,3.3333333333333335,53.333333333333336
2024-01-12,GFI.JO,50,30
2024-01-12,GLN.JO,56.666666666666664,36.666666666666664
2024-01-12,HAR.JO,46.666666666666664,100
2024-01-12,HMN.JO,66.66666666666666,60
2024-01-12,KAP.JO,70,33.33333333333333
2024-01-12,KBO.JO,100,3.3333333333333335
2024-01-12,MCG.JO,73.33333333333333,43.333333333333336
2024-01-12,MRP.JO,10,46.666666666666664
2024-01-12,MTM.JO,60,76.66666666666667
2024-01-12,NPH.JO,96.66666666666667,26.666666666666668
2024-01-12,ORN.JO,30,10
2024-01-12,OUT.JO,20,56.666666666666664
2024-01-12,PAN.JO,33.33333333333333,83.33333333333334
2024-01-12,PIK.JO,36.666666666666664,6.666666666666667
2024-01-12,PPC.JO,83.33333333333334,95
2024-01-12,QLT.JO,53.333333333333336,90
2024-01-12,RMH.JO,86.66666666666667,95
2024-01-12,SAP.JO,43.333333333333336,80
2024-01-12,SBK.JO,13.333333333333334,70
2024-01-12,SOL.JO,40,13.333333333333334
2024-01-12,TCP.JO,93.33333333333333,63.33333333333333
2024-01-12,TFG.JO,23.333333333333332,40
2024-01-12,TRU.JO,6.666666666666667,50
2024-01-12,VKE.JO,76.66666666666667,66.66666666666666
2024-01-12,WHL.JO,63.33333333333333,21.666666666666668
